English,Maithili
Welcome,Swagatam Swagat aichh
Hello,प्रनाम (Pranaam) - frm
How are you?,सभ कुशल मंगल (Saab kushal ṁangal?) Aahan kehan chhi?
Reply to 'How are you?',Hum thik chhi
Long time no see,Badd din bhagel aanha ke dekhala
What's your name?,Anhake naam ki achhi? Apne ker shubh naam?
My name is ...,Hamar naam ... aichh
Where are you from?,Aanha kat sa chhi? Apne ke ghar kat bhel?
I'm from ...,Hamar ghar ... aichh
Pleased to meet you,"Ahase mili k prasannta bhel Aanha se milalau badd khushi bhel Apne bhetal, badd prasannta bhel"
Good morning,Suprabhaat Bhorak pranaam.
Good afternoon,Dopahar ke bad namaskar Dupaharak prannam.
Good evening,Shubh sandhya Sanjhek pranaam.
Good night,Shubh ratri Ratrik pranaam
Goodbye,Alavidaa Jai chhi Bida del jau
Good luck!,Aanhak nik bhagya hoye
Cheers! Good Health!,Aanhak swasth nik rahe sadkhin!
Have a nice day,Aanhak din nik hoai!
Bon appetit,Aanhak bhojan! Khaik nik hoye!
Bon voyage,Aanhak yatra shubh hait!
Yes,हँ (Hô)
No,Nai
Maybe,Bha sakai chhai
I don't know,Ham nai janait chhi
I understand,Ham buijh geli
I don't understand,Ham nai bujhali
Please speak more slowly,Kripayak asthir sa baju
Please say that again,Kripayak ek ber aar kahiyau
Please write it down,Kripayak e likhiyau
Do you speak English?,Aanha angreji me baaj sakaichhi?
Do you speak Maithili?,Aanha maithili baaj sakaichhi?
"Yes, a little","Han, kanik kam"
Speak to me in Maithili,Aanha hamara sa maithili me baaju
How do you say ... in Maithili?,Aanha kona bajbai ... maithili me?
Excuse me,Chhama karab Kani sunu
How much is this?,Katek ye i?
Sorry,Badd dukh bhel Badd dukhi bhelau
Please,Kripa karu
Thank you,Dhanyabad Bahut bahut dhanyabad
Reply to thank you,Swagatam Anhu ke dhanyabaad Suswagatam
Where's the toilet / bathroom?,Shanka grih ker jankari del jao Katta ye aanhak bathroom
This gentleman will pay for everything,Ee manukh aanhak i sab ker paisa det
This lady will pay for everything,Ee mahila aanhak i sab ker paisa det
Would you like to dance with me?,Aanha hamara sathe naach karabai?
I miss you,Aanhak ham yaad karaichhi
Get well soon,Jaldi sa nik bha jaau
Go away!,Chail jaau atasa!
Leave me alone!,Hamra akela chhoed dia! Hamara ekant me chhoed diy!
Help!,Kani madaid kôrait jau! Kani madad karu!
Fire!,Aagi!
Stop!,Ruku!
Call the police!,Police ke phone kariyauk!
Christmas greetings,Christmasak badhai Shubhakamana
Easter greetings,Eaterak badhai Shubhakamana
Birthday greetings,Janam dinak badhai Shubhakamana
One language is never enough,Ek got bhasha kafi nai hait
My hovercraft is full of eels,Hamar hovercraft eel machalion sa bharal aichh
